Description,Time,CoPx,CoPy
ECR,19.0,0.0039031704667630593,0.03193101204908612
ECR,20.0,0.003627897250897251,0.03123717427017427
ECR,21.0,0.003457180625069514,0.03197854954954955
ECR,22.0,0.003862950530950531,0.0324538961038961
ECR,23.0,0.003683787491194899,0.032234477440403364
ECR,24.0,0.004049788618788619,0.03234445569245569
ECR,25.0,0.0038676516887257628,0.03257204115226337
ECR,26.0,0.004077453139453139,0.033087503496503495
ECR,27.0,0.003969657472287102,0.03233578367256145
ECR,28.0,0.004064021312021312,0.03225663699263699
ECR,29.0,0.004313344307270233,0.03216744685426167
ECR,30.0,0.004129377622377622,0.031091890553890552
ECR,31.0,0.004335445074704334,0.030993701887072258
ECR,32.0,0.004195626262626263,0.03144484907684907
ECR,33.0,0.004382602936269603,0.031728793200608015
ECR,34.0,0.004148955451955452,0.03266642686942687
ECR,35.0,0.004040055611166722,0.03303967185704223
ECR,36.0,0.003933785621785622,0.03210803378103378
ECR,37.0,0.004471234642049456,0.03127825603381159
ECR,38.0,0.0037885672475672476,0.03238829707329707
ECR,39.0,0.0042368165572980385,0.031734671226782335
ECR,40.0,0.0038765022755022755,0.03046851626151626
ECR,41.0,0.0037918269380491604,0.03173802817632447
ECR,42.0,0.0036365637325637325,0.031949627187627186
ECR,43.0,0.004080216179142105,0.031311715864012164
ECR,44.0,0.004157506197506197,0.03110010744810745
ECR,45.0,0.004561309791272754,0.03010650976902829
ECR,46.0,0.004244278203278203,0.03159287493987494
ECR,47.0,0.00448968550031513,0.03236079231082935
ECR,48.0,0.004236730306730307,0.03270219495319495
ECR,49.0,0.0042256340785229675,0.03138996359322285
ECR,50.0,0.004119038554038554,0.030212140045140043
ECR,51.0,0.003961867756645534,0.03230225436547659
ECR,52.0,0.004189373404373404,0.03340463277463277
ECR,53.0,0.004317212249286323,0.03365657361064769
ECR,54.0,0.003696682946682947,0.03352089898989899
ECR,55.0,0.003673739294850406,0.032461606569532495
ECR,56.0,0.0038663282643282646,0.03290606071706072
ECR,57.0,0.003291797315834353,0.03376100470841212
ECR,58.0,0.003267406926406926,0.032534883930883926
ECR,59.0,0.003804326215103993,0.032180194713231754
ECR,60.0,0.003457071173317451,0.033027514145324594
WL1,0.0,0.004792768106643855,0.03342778250641574
WL1,1.0,0.004582327380739362,0.03249987306302115
WL1,2.0,0.004661665593665594,0.02877647570947571
WL1,3.0,0.004985271716160605,0.02646650428205984
WL1,4.0,0.005252258778258779,0.02730519894919895
WL1,5.0,0.004994504949393838,0.02672626993660327
WL1,6.0,0.005295892144892145,0.028474981277981277
WL1,7.0,0.005072362955548141,0.031948089904719534
WL1,8.0,0.005309863765863766,0.032697285825285825
WL1,9.0,0.005855385014644274,0.03518155863270678
WL1,10.0,0.004991295334295335,0.03510635927035927
WL1,11.0,0.004195613057501947,0.03338820175731287
WL1,12.0,0.004837912087912088,0.030136784215784213
WL1,13.0,0.003279262707151596,0.027902703814926037
WL1,14.0,0.005120813778813779,0.02823587471787472
WL1,15.0,0.004903443962481,0.02914654754754755
WL1,16.0,0.005154826987826988,0.03134204140304141
WL1,17.0,0.005206883587290994,0.03454042676009343
WL1,18.0,0.005541576386576387,0.03740121667221667
WL1,19.0,0.004855726022318615,0.038668075557038516
WL1,20.0,0.004296112887112887,0.037053572464572464
WL1,21.0,0.00542576913950988,0.03397312557001446
WL1,22.0,0.005305735782735783,0.031740675324675324
